type,content_json
Theory,"{""title"": ""Segmentation"", ""summary"": ""Deep dive into the OS theory of Segmentation."", ""key_points"": [""Logical memory grouping."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Theory,"{""title"": ""Thread"", ""summary"": ""Deep dive into the OS theory of Thread."", ""key_points"": [""Parallel processing in applications."", ""Part of OS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""OS""}"
Concept + Code,"{""question"": ""How is Deadlock implemented?"", ""answer"": ""Mutual blocking of resource waiting."", ""code"": ""// Implementing Deadlock\nfunction init_deadlock() {}"", ""explanation"": ""This block initializes the Deadlock logic for use in OS."", ""language"": ""Java""}"
Theory,"{""title"": ""Big O"", ""summary"": ""Deep dive into the Adv theory of Big O."", ""key_points"": [""Algorithm analysis."", ""Part of Adv domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""Adv""}"
Theory,"{""title"": ""ACID"", ""summary"": ""Deep dive into the DBMS theory of ACID."", ""key_points"": [""Ensuring data integrity."", ""Part of DBMS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DBMS""}"
Comparison,"{""topic"": ""Neural Network vs Binary Tree"", ""concept_a"": ""Neural Network"", ""concept_b"": ""Binary Tree"", ""difference"": ""Neural Network is Nodes mimicking brain neurons. while Binary Tree is Hierarchical structure with 2 children."", ""use_case"": ""Machine learning, AI vision. vs File systems, search trees.""}"
Concept + Code,"{""question"": ""How is Big O implemented?"", ""answer"": ""Worst-case complexity notation."", ""code"": ""// Implementing Big O\nfunction init_big_o() {}"", ""explanation"": ""This block initializes the Big O logic for use in Adv."", ""language"": ""C++""}"
Concept + Code,"{""question"": ""How is ACID implemented?"", ""answer"": ""Database transaction properties."", ""code"": ""// Implementing ACID\nfunction init_acid() {}"", ""explanation"": ""This block initializes the ACID logic for use in DBMS."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Big O implemented?"", ""answer"": ""Worst-case complexity notation."", ""code"": ""// Implementing Big O\nfunction init_big_o() {}"", ""explanation"": ""This block initializes the Big O logic for use in Adv."", ""language"": ""Java""}"
Concept + Code,"{""question"": ""How is Quantum Bit implemented?"", ""answer"": ""Basic unit of quantum info."", ""code"": ""// Implementing Quantum Bit\nfunction init_quantum_bit() {}"", ""explanation"": ""This block initializes the Quantum Bit logic for use in Adv."", ""language"": ""Java""}"
Theory,"{""title"": ""Binary Tree"", ""summary"": ""Deep dive into the DS theory of Binary Tree."", ""key_points"": [""File systems, search trees."", ""Part of DS domain."", ""Crucial optimization topic.""], ""difficulty"": ""Medium"", ""domain"": ""DS""}"
